"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Net Length (mm)";"TOP (mm)";"GND1 (mm)";"S1 (mm)";"PW1 (mm)";"S2 (mm)";"GND2 (mm)";"PW2 (mm)";"BOT (mm)";
448;"/IO/SIO3";2;1;1.0397;11.0552;0.0000;12.0949;1.0828;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;9.9724;
449;"/IO/SCLK";2;1;1.0397;9.4541;0.0000;10.4938;1.7006;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;7.7536;
450;"/IO/SIO2";2;1;1.0397;9.6186;0.0000;10.6583;2.7692;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;6.8494;
451;"/IO/SIO0";2;1;1.0397;10.8928;0.0000;11.9325;0.7000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;10.1928;
457;"ESP32_RX";2;1;1.0397;52.2750;0.0000;53.3147;0.7896;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;51.4855;
458;"ESP32_TX";2;1;1.0397;52.6505;0.0000;53.6902;1.0172;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;51.6333;
465;"/IO/RAM_CS";2;1;1.0397;6.2919;0.0000;7.3316;0.6500;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;5.6419;
475;"/MPU/pi2_P";2;0;0.0000;6.9342;0.0000;6.9342;6.9342;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
476;"/MPU/U1_TX_P";2;2;1.0397;15.9205;0.0000;16.9602;0.4594;0.0000;12.0482;0.0000;0.0000;0.0000;0.0000;3.4129;
477;"/MPU/U1_TX_N";2;2;1.0397;15.9747;0.0000;17.0144;0.4384;0.0000;12.0647;0.0000;0.0000;0.0000;0.0000;3.4715;
478;"/MPU/U1_RX_P";2;2;1.0397;14.9062;0.0000;15.9459;0.4196;0.0000;10.1152;0.0000;0.0000;0.0000;0.0000;4.3714;
479;"/MPU/U1_RX_N";2;2;1.0397;14.9312;0.0000;15.9709;0.4530;0.0000;10.1175;0.0000;0.0000;0.0000;0.0000;4.3607;
481;"/MPU/H3_P";2;0;0.0000;12.5766;0.0000;12.5766;12.5766;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
482;"/MPU/H3_N";2;0;0.0000;12.5766;0.0000;12.5766;12.5766;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
